,time,protocol,src_ip,dst_ip,src_port,dst_port,length,payload_size,query_name,spotify_or_not,interarrival_time,dst_interarrival_time,cluster
14,1712706987.162084,1,2620:149:a43:180::2:2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,61732.0,1272.0,1240.0,,0,7.152557373046875e-06,7.152557373046875e-06,2
15,1712706987.162085,1,2620:149:a43:180::2:2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,61732.0,1460.0,1428.0,,0,9.5367431640625e-07,9.5367431640625e-07,2
16,1712706987.162085,1,2620:149:a43:180::2:2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,61732.0,523.0,491.0,,0,0.0,0.0,1
17,1712706987.162604,1,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2620:149:a43:180::2:2,61732.0,443.0,32.0,0.0,,0,0.0005190372467041,0.0020201206207275,1
18,1712706987.171165,1,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2620:149:a43:180::2:2,61732.0,443.0,96.0,64.0,,0,0.0085608959197998,0.0085608959197998,1
19,1712706987.177254,1,2620:149:a43:180::2:2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,61732.0,32.0,0.0,,0,0.0060889720916748,0.0151689052581787,1
20,1712706987.177261,1,2620:149:a43:180::2:2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,61732.0,303.0,271.0,,0,7.152557373046875e-06,7.152557373046875e-06,1
22,1712706987.177262,1,2620:149:a43:180::2:2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,61732.0,94.0,62.0,,0,0.0,0.0,1
21,1712706987.177262,1,2620:149:a43:180::2:2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,61732.0,303.0,271.0,,0,9.5367431640625e-07,9.5367431640625e-07,1
23,1712706987.177622,1,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2620:149:a43:180::2:2,61732.0,443.0,32.0,0.0,,0,0.0003600120544433,0.0064570903778076,1
24,1712706987.182025,1,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2620:149:a43:180::2:2,61732.0,443.0,1232.0,1200.0,,0,0.0044028759002685,0.0044028759002685,2
25,1712706987.188114,1,2620:149:a43:180::2:2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,61732.0,32.0,0.0,,0,0.0060889720916748,0.0108518600463867,1
26,1712706987.188123,1,2620:149:a43:180::2:2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,61732.0,63.0,31.0,,0,9.059906005859377e-06,9.059906005859377e-06,1
