,time,protocol,src_ip,dst_ip,src_port,dst_port,length,payload_size,query_name,spotify_or_not,interarrival_time,dst_interarrival_time
30,1713821926.39333,6.0,192.168.1.46,44.228.151.38,49490.0,443.0,52.0,0.0,,0,3.719329833984375e-05,3.719329833984375e-05
31,1713821926.394969,6.0,192.168.1.46,44.228.151.38,49490.0,443.0,52.0,0.0,,0,0.0016388893127441406,0.0016388893127441406
32,1713821926.400062,6.0,2600:1901:1:c36::,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,443.0,54525.0,32.0,0.0,,0,0.005093097686767578,0.0203859806060791
33,1713821926.400215,6.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2600:1901:1:c36::,54525.0,443.0,32.0,0.0,,0,0.00015282630920410156,0.019203901290893555
34,1713821926.400237,6.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2600:1901:1:c36::,54525.0,443.0,63.0,31.0,,0,2.2172927856445312e-05,2.2172927856445312e-05
35,1713821926.400809,6.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2600:1901:1:c36::,54525.0,443.0,32.0,0.0,,0,0.0005719661712646484,0.0005719661712646484
36,1713821926.420782,6.0,2600:1901:1:c36::,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,443.0,54525.0,32.0,0.0,,0,0.019973039627075195,0.02072000503540039
37,1713821926.443318,6.0,44.228.151.38,192.168.1.46,443.0,49490.0,52.0,0.0,,0,0.02253580093383789,0.05047893524169922
38,1713821926.443633,6.0,192.168.1.46,44.228.151.38,49490.0,443.0,52.0,0.0,,0,0.0003151893615722656,0.048664093017578125
39,1713821926.52575,6.0,44.228.151.38,192.168.1.46,443.0,49490.0,52.0,0.0,,0,0.08211684226989746,0.08243203163146973
40,1713821926.633485,6.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2600:1901:1:c36::,54525.0,443.0,32.0,0.0,,0,0.10773515701293945,0.23267602920532227
41,1713821926.639985,6.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2600:1901:1:c36::,53175.0,443.0,32.0,0.0,,0,0.0065000057220458984,0.0065000057220458984
42,1713821926.640001,6.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2600:1901:1:c36::,53175.0,443.0,32.0,0.0,,0,1.5974044799804688e-05,1.5974044799804688e-05
43,1713821926.640016,6.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2600:1901:1:c36::,53175.0,443.0,32.0,0.0,,0,1.5020370483398438e-05,1.5020370483398438e-05
44,1713821926.640026,6.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2600:1901:1:c36::,53175.0,443.0,44.0,0.0,,0,1.0013580322265625e-05,1.0013580322265625e-05
45,1713821926.640097,6.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2600:1901:1:c36::,53175.0,443.0,44.0,0.0,,0,7.081031799316406e-05,7.081031799316406e-05
46,1713821926.645504,6.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2600:1901:1:c36::,54525.0,443.0,32.0,0.0,,0,0.005407094955444336,0.005407094955444336
47,1713821926.65104,6.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2600:1901:1:c36::,53175.0,443.0,32.0,0.0,,0,0.005536079406738281,0.005536079406738281
48,1713821926.658177,6.0,2600:1901:1:c36::,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,443.0,54525.0,32.0,0.0,,0,0.007136821746826172,0.2373948097229004
49,1713821926.670378,6.0,2600:1901:1:c36::,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,443.0,53175.0,32.0,0.0,,0,0.012201070785522461,0.012201070785522461
50,1713821926.674527,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,64209.0,53.0,47.0,39.0,apresolve.spotify.com.,1,0.004148960113525391,0.3432929515838623
51,1713821926.674775,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,62253.0,53.0,47.0,39.0,apresolve.spotify.com.,1,0.000247955322265625,0.000247955322265625
52,1713821926.675085,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,59421.0,53.0,47.0,39.0,apresolve.spotify.com.,1,0.0003101825714111328,0.0003101825714111328
53,1713821926.681133,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,52587.0,53.0,49.0,41.0,clienttoken.spotify.com.,1,0.006047964096069336,0.006047964096069336
